ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20240722,1723.9141,1729.2801,1735.6012,1713.3732,1725.4874,-1.5733,-0.0912,15705807.06,46336716.80186
399006.SZ,20240723,1671.4432,1721.9346,1722.0774,1671.4432,1723.9141,-52.4709,-3.0437,15683812.32,43874208.10725
399006.SZ,20240724,1650.9078,1666.6208,1682.963,1645.7528,1671.4432,-20.5354,-1.2286,15282596.13,42621820.08117
399006.SZ,20240725,1644.4537,1641.6821,1658.1346,1638.5403,1650.9078,-6.4541,-0.3909,14247440.98,44483277.23781
399006.SZ,20240726,1659.5336,1649.3446,1670.2142,1646.6344,1644.4537,15.0799,0.917,13522154.17,40704738.97334
399006.SZ,20240729,1635.6748,1653.3896,1653.3896,1634.5088,1659.5336,-23.8588,-1.4377,12547636.91,39834809.79184
399006.SZ,20240730,1630.951,1629.1811,1637.2104,1621.9353,1635.6748,-4.7238,-0.2888,11261231.09,33713399.95645
399006.SZ,20240731,1688.1419,1623.0383,1689.491,1623.0383,1630.951,57.1909,3.5066,23950672.81,62057566.1534
399006.SZ,20240801,1665.9729,1690.2188,1694.5907,1663.0753,1688.1419,-22.169,-1.3132,16467067.04,49067403.53629
399006.SZ,20240802,1638.3043,1649.8431,1671.3567,1635.4355,1665.9729,-27.6686,-1.6608,16592438.04,48959630.7948
399006.SZ,20240805,1607.2884,1621.1881,1656.0902,1607.2446,1638.3043,-31.0159,-1.8932,19514433.07,54049653.07848
399006.SZ,20240806,1627.3554,1628.1164,1638.4799,1612.0003,1607.2884,20.067,1.2485,16595959.19,43891129.62217
399006.SZ,20240807,1620.3315,1624.0634,1632.6448,1618.3941,1627.3554,-7.0239,-0.4316,13643851.81,35449226.98345
399006.SZ,20240808,1611.5085,1611.2619,1628.6648,1598.6795,1620.3315,-8.823,-0.5445,13229133.24,33854666.06153
399006.SZ,20240809,1595.6419,1621.8406,1628.531,1595.6419,1611.5085,-15.8666,-0.9846,11983818.33,32679253.43319
399006.SZ,20240812,1592.3944,1596.4138,1601.8549,1589.0929,1595.6419,-3.2475,-0.2035,11081922.21,29867995.90818
399006.SZ,20240813,1607.1855,1592.0445,1607.2576,1587.5153,1592.3944,14.7911,0.9289,11071013.44,32140781.26654
399006.SZ,20240814,1584.328,1606.4412,1606.4412,1584.328,1607.1855,-22.8575,-1.4222,10635594.01,29181888.57659
399006.SZ,20240815,1592.7101,1581.1525,1608.9496,1581.0512,1584.328,8.3821,0.5291,13432497.82,32546968.68648
399006.SZ,20240816,1591.461,1594.5094,1603.4274,1587.4074,1592.7101,-1.2491,-0.0784,11382812.72,31990882.53274
399006.SZ,20240819,1589.2872,1589.2068,1608.2655,1588.218,1591.461,-2.1738,-0.1366,11445571.99,31620341.16158
399006.SZ,20240820,1567.9688,1590.173,1591.8764,1565.4316,1589.2872,-21.3184,-1.3414,12822973.72,30596470.93063
399006.SZ,20240821,1558.5116,1561.2424,1572.4718,1556.9328,1567.9688,-9.4572,-0.6031,12243270.11,29776494.85592
399006.SZ,20240822,1546.6314,1559.6831,1563.3726,1544.9065,1558.5116,-11.8802,-0.7623,14085413.17,33771339.3956
399006.SZ,20240823,1546.903,1540.5159,1555.0071,1537.777,1546.6314,0.2716,0.0176,11748151.3,30134535.23777
399006.SZ,20240826,1545.3094,1550.0446,1557.9101,1540.5209,1546.903,-1.5936,-0.103,14361305.24,36412560.27638
399006.SZ,20240827,1530.7442,1537.8126,1541.9283,1526.6072,1545.3094,-14.5652,-0.9425,13688098.13,31187858.05637
399006.SZ,20240828,1531.4502,1526.669,1534.5405,1522.4841,1530.7442,0.706,0.0461,12480742.75,29277238.07509
399006.SZ,20240829,1541.3995,1512.3709,1551.5399,1512.171,1531.4502,9.9493,0.6497,16369603.39,43986242.53737
399006.SZ,20240830,1580.4595,1543.8935,1601.1559,1543.8935,1541.3995,39.06,2.5341,22844962.99,59055199.93605
399006.SZ,20240902,1536.9499,1577.4449,1581.8685,1536.5258,1580.4595,-43.5096,-2.753,16319255.37,39457203.00129
399006.SZ,20240903,1556.3207,1533.5721,1561.8572,1533.4582,1536.9499,19.3708,1.2603,13099933.71,32377825.78992
399006.SZ,20240904,1554.6395,1541.899,1569.8851,1540.1716,1556.3207,-1.6812,-0.108,12996907.03,35034135.65848
399006.SZ,20240905,1564.723,1554.8763,1576.0291,1554.8763,1554.6395,10.0835,0.6486,12718806.27,32010485.62929
399006.SZ,20240906,1538.072,1564.3252,1566.5729,1537.3772,1564.723,-26.651,-1.7032,12085113.75,27739456.89703
399006.SZ,20240909,1539.0381,1528.6494,1547.7334,1526.2352,1538.072,0.9661,0.0628,11639155.2,29129020.63637
399006.SZ,20240910,1539.9802,1540.2106,1551.6057,1522.8756,1539.0381,0.9421,0.0612,12125464.27,33304009.62004
399006.SZ,20240911,1558.3275,1539.8458,1563.0876,1535.6187,1539.9802,18.3473,1.1914,11726244.29,33300691.85611
399006.SZ,20240912,1551.8137,1566.4032,1577.1679,1551.0256,1558.3275,-6.5138,-0.418,12273425.82,34343506.34706
399006.SZ,20240913,1535.1684,1552.2763,1556.6644,1535.1684,1551.8137,-16.6453,-1.0726,11775951.51,35804575.52043
399006.SZ,20240918,1533.4726,1533.3817,1540.0753,1522.5437,1535.1684,-1.6958,-0.1105,9946137.69,25644445.30301
399006.SZ,20240919,1546.4738,1543.3158,1565.2146,1520.723,1533.4726,13.0012,0.8478,15989708.67,40034722.81656
399006.SZ,20240920,1536.5991,1546.7749,1546.7749,1525.6824,1546.4738,-9.8747,-0.6385,12384017.58,32529450.02843
399006.SZ,20240923,1530.5062,1538.0549,1548.409,1528.9409,1536.5991,-6.0929,-0.3965,10975399.78,30646083.16702
399006.SZ,20240924,1615.3215,1545.9038,1616.0682,1532.5226,1530.5062,84.8153,5.5417,29588328.13,73377576.6514
399006.SZ,20240925,1641.5416,1652.8282,1679.6391,1639.6811,1615.3215,26.2201,1.6232,32822315.48,82527973.38512
399006.SZ,20240926,1714.1435,1638.5265,1716.011,1625.6621,1641.5416,72.6019,4.4228,35330295.14,85944102.1707
399006.SZ,20240927,1885.4888,1751.3278,1919.7853,1751.3278,1714.1435,171.3453,9.996,58467618.4,157766275.72686
399006.SZ,20240930,2175.0865,1994.2623,2182.3884,1966.3381,1885.4888,289.5977,15.3593,73455862.24,222456926.51257
399006.SZ,20241008,2550.2764,2576.217,2576.217,2336.4423,2175.0865,375.1899,17.2494,89739690.32,335094367.40321
399006.SZ,20241009,2280.0963,2426.7522,2514.2914,2278.8172,2550.2764,-270.1801,-10.5941,100738746.31,372755964.71629
399006.SZ,20241010,2212.9087,2291.2175,2327.598,2181.0778,2280.0963,-67.1876,-2.9467,66498361.75,222087028.70227
399006.SZ,20241011,2100.8707,2173.7103,2191.4019,2066.5775,2212.9087,-112.038,-5.0629,49123036.23,156587115.98818
399006.SZ,20241014,2155.403,2119.3855,2163.2745,2062.4457,2100.8707,54.5323,2.5957,50270275.28,161532915.02954
399006.SZ,20241015,2085.9863,2139.6475,2175.9518,2085.8183,2155.403,-69.4167,-3.2206,43769251.93,151262344.61642
399006.SZ,20241016,2039.9498,2037.7435,2081.3242,2026.5199,2085.9863,-46.0365,-2.2069,35847851.45,118178817.04613
399006.SZ,20241017,2033.4845,2057.9603,2081.0866,2031.9869,2039.9498,-6.4653,-0.3169,38839162.85,129607964.55989
399006.SZ,20241018,2195.1007,2027.653,2272.9997,2027.6497,2033.4845,161.6162,7.9477,70130085.0,242501168.23012
