ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20240703,4867.1326,4900.6672,4906.5099,4857.7752,4905.6497,-38.5171,-0.7852,102300301.0,103816042.6434
000852.SH,20240704,4761.868,4868.546,4883.7366,4745.9085,4867.1326,-105.2646,-2.1628,121202257.0,107066707.375
000852.SH,20240705,4810.7939,4753.7335,4828.8428,4711.8681,4761.868,48.9259,1.0275,110602467.0,100918951.1241
000852.SH,20240708,4693.9648,4801.4891,4801.4891,4679.2848,4810.7939,-116.8291,-2.4285,123548775.0,109218205.9755
000852.SH,20240709,4797.0634,4689.2748,4810.3222,4645.197,4693.9648,103.0986,2.1964,148511187.0,139660896.3101
000852.SH,20240710,4777.6817,4783.1695,4829.2084,4768.1249,4797.0634,-19.3817,-0.404,138401543.0,133173779.7034
000852.SH,20240711,4893.5942,4846.1054,4896.1464,4821.4135,4777.6817,115.9125,2.4261,153190469.0,152871133.8313
000852.SH,20240712,4878.0195,4884.4134,4897.169,4858.3033,4893.5942,-15.5747,-0.3183,130854179.0,126357791.6793
000852.SH,20240715,4827.6023,4869.0042,4869.0042,4815.407,4878.0195,-50.4172,-1.0336,126413017.0,116891290.1493
000852.SH,20240716,4836.7184,4815.7386,4845.3491,4786.2143,4827.6023,9.1161,0.1888,120891502.0,119708973.121
000852.SH,20240717,4795.6236,4834.4409,4842.7213,4786.3476,4836.7184,-41.0948,-0.8496,120425116.0,121445754.6157
000852.SH,20240718,4812.4263,4763.3035,4822.6187,4714.6011,4795.6236,16.8027,0.3504,121727781.0,126287644.1054
000852.SH,20240719,4821.4227,4788.7709,4854.7069,4778.7137,4812.4263,8.9964,0.1869,112647955.0,120485073.1778
000852.SH,20240722,4826.8713,4822.6393,4848.307,4798.1172,4821.4227,5.4486,0.113,110732121.0,117656274.0447
000852.SH,20240723,4694.9525,4825.745,4825.745,4694.9525,4826.8713,-131.9188,-2.733,120495201.0,121481765.8017
000852.SH,20240724,4631.0111,4682.0615,4713.074,4625.4217,4694.9525,-63.9414,-1.3619,121091980.0,118860085.0949
000852.SH,20240725,4632.5667,4602.6331,4678.6585,4587.7073,4631.0111,1.5556,0.0336,108530458.0,105862951.8932
000852.SH,20240726,4702.08,4638.3121,4710.5694,4638.3121,4632.5667,69.5133,1.5005,110691033.0,108478164.4514
000852.SH,20240729,4685.6457,4707.2785,4707.2785,4670.7997,4702.08,-16.4343,-0.3495,109319605.0,108822855.9998
000852.SH,20240730,4702.4914,4674.9244,4716.2143,4637.4095,4685.6457,16.8457,0.3595,112315594.0,112127735.5361
000852.SH,20240731,4889.0807,4698.7342,4889.7717,4690.0,4702.4914,186.5893,3.9679,173761942.0,168965970.5222
000852.SH,20240801,4878.289,4894.8088,4933.0606,4850.6329,4889.0807,-10.7917,-0.2207,146421421.0,150211396.5627
000852.SH,20240802,4809.8891,4844.7776,4902.9414,4802.0222,4878.289,-68.3999,-1.4021,137989767.0,141716564.2247
000852.SH,20240805,4678.7753,4776.1816,4854.5904,4678.7393,4809.8891,-131.1138,-2.7259,152847485.0,147489789.9432
000852.SH,20240806,4749.9466,4731.1959,4766.2733,4695.637,4678.7753,71.1713,1.5212,127097641.0,119128621.7679
000852.SH,20240807,4743.41,4741.6513,4772.2059,4715.5287,4749.9466,-6.5366,-0.1376,112619284.0,108823999.546
000852.SH,20240808,4739.4933,4728.3303,4776.4878,4677.4254,4743.41,-3.9167,-0.0826,126746572.0,118155007.2919
000852.SH,20240809,4702.7453,4760.1272,4789.169,4702.7453,4739.4933,-36.748,-0.7754,115665338.0,101903629.1295
000852.SH,20240812,4674.1017,4696.3641,4707.2164,4657.3299,4702.7453,-28.6436,-0.6091,107665245.0,93579528.5569
000852.SH,20240813,4697.5858,4671.2003,4698.3417,4642.6689,4674.1017,23.4841,0.5024,100207248.0,89086385.4677
000852.SH,20240814,4649.2784,4698.0028,4698.1483,4649.2784,4697.5858,-48.3074,-1.0283,99911373.0,88773228.4216
000852.SH,20240815,4691.8503,4639.0844,4743.728,4620.5554,4649.2784,42.5719,0.9157,129900650.0,111783008.4433
000852.SH,20240816,4655.6509,4696.7179,4703.027,4654.4599,4691.8503,-36.1994,-0.7715,122612541.0,108413620.5642
000852.SH,20240819,4663.6121,4651.2971,4714.0588,4644.6008,4655.6509,7.9612,0.171,119942244.0,104904645.6459
000852.SH,20240820,4579.3041,4663.7757,4665.6342,4563.8552,4663.6121,-84.308,-1.8078,129979655.0,107871967.9496
