st_period,st_mult,n,k,atr_period,hv_threshold,total_return,annual_return,max_dd,max_dd_days,sharpe,calmar,daily_vol,n_trades,win_rate,profit_factor,avg_hold_days
34,4.9,22,5.5,20,0.99,-0.2538789293282103,-0.028319407645378547,-0.4159636826432196,2353,-0.2077589422864418,-0.06808144274861773,0.19275477543190245,18,0.3888888888888889,1.0753113905718692,84.94444444444444
34,4.9,22,5.5,21,0.99,-0.3734062792017838,-0.044818672647026214,-0.5095253256359896,2353,-0.3016725114065761,-0.08796161916207705,0.19077562296964923,19,0.3684210526315789,0.9539096389308945,79.57894736842105
34,4.9,22,5.5,22,0.99,-0.3734062792017838,-0.044818672647026214,-0.5095253256359896,2353,-0.3016725114065761,-0.08796161916207705,0.19077562296964923,19,0.3684210526315789,0.9539096389308945,79.57894736842105
34,4.9,22,5.5,23,0.99,-0.46006023834793525,-0.0586631847439103,-0.5773548792746988,2353,-0.385083758345245,-0.10160680518991343,0.18849183906026984,20,0.3,1.0638284611824373,72.9
34,4.9,22,5.5,24,0.99,-0.45610034704765107,-0.05798821020744738,-0.5742552210247729,2353,-0.38131246930936774,-0.10097985718608872,0.1884811631932571,20,0.3,1.070630913613145,72.85
34,4.9,22,5.5,25,0.99,-0.45610034704765107,-0.05798821020744738,-0.5742552210247729,2353,-0.38131246930936774,-0.10097985718608872,0.1884811631932571,20,0.3,1.070630913613145,72.85
34,4.9,22,5.5,26,0.99,-0.45822189358268295,-0.05834928045116572,-0.5759158901495645,2353,-0.38456686710688054,-0.10131562863461278,0.1880795051941188,20,0.3,1.0666421405272732,72.5
34,4.9,22,5.5,27,0.99,-0.43446332442764984,-0.054376572609896257,-0.5573185501461806,2353,-0.3566285191600357,-0.09756820869435205,0.18999125540889944,20,0.3,1.1123788961549295,77.0
34,4.9,22,5.5,28,0.99,-0.43446332442764984,-0.054376572609896257,-0.5573185501461806,2353,-0.3566285191600357,-0.09756820869435205,0.18999125540889944,20,0.3,1.1123788961549295,77.0
34,4.9,22,5.5,29,0.99,-0.43446332442764984,-0.054376572609896257,-0.5573185501461806,2353,-0.3566285191600357,-0.09756820869435205,0.18999125540889944,20,0.3,1.1123788961549295,77.0
34,4.9,22,5.5,30,0.99,-0.43446332442764984,-0.054376572609896257,-0.5573185501461806,2353,-0.3566285191600357,-0.09756820869435205,0.18999125540889944,20,0.3,1.1123788961549295,77.0
34,4.9,22,5.5,31,0.99,-0.43446332442764984,-0.054376572609896257,-0.5573185501461806,2353,-0.3566285191600357,-0.09756820869435205,0.18999125540889944,20,0.3,1.1123788961549295,77.0
34,4.9,22,5.5,32,0.99,-0.45706089752920437,-0.05815153056073852,-0.575007104851585,2353,-0.37672183671027626,-0.10113184701560861,0.1903124646848286,20,0.3,1.072128409321854,77.1
34,4.9,22,5.5,33,0.99,-0.4239585209891385,-0.05266785112417638,-0.5782799415242196,2353,-0.3495503565320648,-0.09107673869053011,0.18914889476344565,20,0.3,1.1257595562326803,77.0
34,4.9,22,5.5,34,0.99,-0.4239585209891385,-0.05266785112417638,-0.5782799415242196,2353,-0.3495503565320648,-0.09107673869053011,0.18914889476344565,20,0.3,1.1257595562326803,77.0
34,4.9,22,5.5,35,0.99,-0.4239585209891385,-0.05266785112417638,-0.5782799415242196,2353,-0.3495503565320648,-0.09107673869053011,0.18914889476344565,20,0.3,1.1257595562326803,77.0
34,4.9,22,5.5,36,0.99,-0.4239585209891385,-0.05266785112417638,-0.5782799415242196,2353,-0.3495503565320648,-0.09107673869053011,0.18914889476344565,20,0.3,1.1257595562326803,77.0
34,4.9,22,5.5,37,0.99,-0.4239585209891385,-0.05266785112417638,-0.5782799415242196,2353,-0.3495503565320648,-0.09107673869053011,0.18914889476344565,20,0.3,1.1257595562326803,77.0
34,4.9,22,5.5,38,0.99,-0.4236124217981205,-0.05261203394313374,-0.5780265622513846,2353,-0.3484902011231515,-0.09102009730869892,0.18940692160491004,20,0.3,1.1270181808562691,76.95
34,4.9,22,5.5,39,0.99,-0.41179352647675344,-0.05072385152552139,-0.5693739471053285,2353,-0.3394681854303495,-0.08908706094368941,0.1888774068564967,20,0.3,1.1482044611356006,76.8
34,4.9,22,5.5,40,0.99,-0.41179352647675344,-0.05072385152552139,-0.5693739471053285,2353,-0.3394681854303495,-0.08908706094368941,0.1888774068564967,20,0.3,1.1482044611356006,76.8
34,4.9,22,5.5,41,0.99,-0.3933721752352256,-0.04784801472066713,-0.5558876729291704,2353,-0.3281088263619282,-0.08607496990990801,0.1871724460931558,20,0.3,1.1778458911336023,74.2
34,4.9,22,5.5,42,0.99,-0.3933721752352256,-0.04784801472066713,-0.5558876729291704,2353,-0.3281088263619282,-0.08607496990990801,0.1871724460931558,20,0.3,1.1778458911336023,74.2
34,4.9,22,5.5,43,0.99,-0.3933721752352256,-0.04784801472066713,-0.5558876729291704,2353,-0.3281088263619282,-0.08607496990990801,0.1871724460931558,20,0.3,1.1778458911336023,74.2
34,4.9,22,5.5,44,0.99,-0.392039958265875,-0.04764310355007251,-0.5549123566738519,2353,-0.32704322950038195,-0.08585698800373733,0.18714187599706614,20,0.3,1.1804591985098478,74.25
34,4.9,22,5.5,45,0.99,-0.392039958265875,-0.04764310355007251,-0.5549123566738519,2353,-0.32704322950038195,-0.08585698800373733,0.18714187599706614,20,0.3,1.1804591985098478,74.25
34,4.9,22,5.5,46,0.99,-0.392039958265875,-0.04764310355007251,-0.5549123566738519,2353,-0.32704322950038195,-0.08585698800373733,0.18714187599706614,20,0.3,1.1804591985098478,74.25
