signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2022-09-02,2022-09-05,2022-07-29,long,3.753,3.749,-646.33,-0.001066
2022-10-10,2022-10-11,2022-09-05,short,3.749,3.809,-9695.02,-0.016004
2022-12-06,2022-12-07,2022-10-11,long,3.809,3.894,13301.91,0.022316
2022-12-21,2022-12-22,2022-12-07,short,3.894,3.992,-15336.32,-0.025167
2023-02-06,2023-02-07,2022-12-22,long,3.992,4.009,2529.76,0.004259
2023-03-06,2023-03-07,2023-02-07,short,4.009,4.079,-10416.66,-0.017461
2023-05-30,2023-05-31,2023-03-07,long,4.079,4.339,37362.53,0.063741
2023-07-13,2023-07-14,2023-05-31,short,4.339,4.402,-9053.23,-0.014519
2023-08-10,2023-08-11,2023-07-14,long,4.402,4.401,-139.59,-0.000227
2023-08-24,2023-08-25,2023-08-11,short,4.401,4.458,-7956.56,-0.012952
2023-09-27,2023-09-28,2023-08-25,long,4.458,4.4,-7889.12,-0.01301
2023-10-17,2023-10-18,2023-09-28,short,4.4,4.524,-16866.38,-0.028182
2023-11-21,2023-11-22,2023-10-18,long,4.524,4.492,-4114.01,-0.007073
2023-11-29,2023-11-30,2023-11-22,short,4.492,4.6,-13884.78,-0.024043
2023-12-11,2023-12-12,2023-11-30,long,4.6,4.521,-9679.55,-0.017174
2023-12-22,2023-12-25,2023-12-12,short,4.521,4.643,-14948.17,-0.026985
2024-01-25,2024-01-26,2023-12-25,long,4.643,4.618,-2902.17,-0.005384
2024-02-02,2024-02-05,2024-01-26,short,4.618,4.666,-5572.17,-0.010394
2024-04-23,2024-04-24,2024-02-05,long,4.666,5.263,67878.02,0.127947
2024-05-20,2024-05-21,2024-04-24,short,5.263,5.549,-32517.78,-0.054342
2024-05-24,2024-05-27,2024-05-21,long,5.549,5.323,-23047.1,-0.040728
2024-07-10,2024-07-11,2024-05-27,short,5.323,5.422,-10095.85,-0.018599
2024-07-19,2024-07-22,2024-07-11,long,5.422,5.417,-491.27,-0.000922
2024-08-21,2024-08-22,2024-07-22,short,5.417,5.536,-11692.26,-0.021968
2024-11-07,2024-11-08,2024-08-22,long,5.536,5.888,33098.63,0.063584
2024-11-21,2024-11-22,2024-11-08,short,5.888,6.011,-11565.71,-0.02089
2025-04-07,2025-04-08,2024-11-22,long,6.011,6.852,75843.07,0.13991
2025-04-10,2025-04-11,2025-04-08,short,6.852,7.34,-44008.82,-0.07122
2025-04-23,2025-04-24,2025-04-11,long,7.34,7.55,16420.01,0.02861
2025-06-13,2025-06-16,2025-04-24,short,7.55,7.634,-6568.0,-0.011126
2025-07-31,2025-08-01,2025-06-16,long,7.634,7.331,-23170.34,-0.039691
2025-08-08,2025-08-11,2025-08-01,short,7.331,7.46,-9864.6,-0.017597
2025-10-24,2025-10-27,2025-08-11,long,7.46,8.897,106086.69,0.192627
2025-12-12,2025-12-15,2025-10-27,short,8.897,9.36,-34181.03,-0.05204
2025-12-31,2026-01-05,2025-12-15,long,9.36,9.421,4057.81,0.006517
2026-01-12,2026-01-13,2026-01-05,short,9.421,9.825,-26874.68,-0.042883
2026-01-30,2026-02-02,2026-01-13,long,9.825,9.908,5067.22,0.008448
2026-03-02,2026-03-03,2026-02-02,short,9.908,11.418,-92186.71,-0.152402
2026-03-19,2026-03-20,2026-03-03,long,11.418,9.883,-68926.4,-0.134437
2026-04-08,2026-04-09,2026-03-20,short,9.883,9.95,-3008.51,-0.006779
2026-05-20,2026-05-21,2026-04-09,long,9.95,9.447,-22282.13,-0.050553
,2026-07-31,2026-05-21,short,9.447,8.433,44918.64,0.107336
